rank,name,author,link,star,fork,language,issues,description,last_commit
1,freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,408703,38628,TypeScript,149,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,2025-01-11T09:41:01Z
2,free-programming-books,EbookFoundation,https://github.com/EbookFoundation/free-programming-books,347107,62476,HTML,34,:books: Freely available programming books,2025-01-03T18:27:26Z
3,awesome,sindresorhus,https://github.com/sindresorhus/awesome,341262,28240,None,12,😎 Awesome lists about all kinds of interesting topics,2024-12-12T00:41:46Z
4,build-your-own-x,codecrafters-io,https://github.com/codecrafters-io/build-your-own-x,324884,30079,Markdown,191,Master programming by recreating your favorite technologies from scratch.,2024-09-03T14:39:35Z
5,public-apis,public-apis,https://github.com/public-apis/public-apis,323809,34344,Python,40,A collective list of free APIs,2024-10-31T19:50:02Z
6,coding-interview-university,jwasham,https://github.com/jwasham/coding-interview-university,309839,77510,None,50,A complete computer science study plan to become a software engineer.,2024-12-05T23:47:30Z
7,developer-roadmap,kamranahmedse,https://github.com/kamranahmedse/developer-roadmap,304526,39870,TypeScript,121,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",2025-01-10T19:16:07Z
8,system-design-primer,donnemartin,https://github.com/donnemartin/system-design-primer,285393,47606,Python,231,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,2024-12-02T01:10:39Z
9,996.ICU,996icu,https://github.com/996icu/996.ICU,270066,21113,None,0,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,2024-10-03T12:29:12Z
10,react,facebook,https://github.com/facebook/react,231233,47342,JavaScript,768,The library for web and native user interfaces.,2025-01-10T16:59:38Z
11,awesome-python,vinta,https://github.com/vinta/awesome-python,230150,25113,Python,0,"An opinionated list of awesome Python frameworks, libraries, software and resources.",2024-08-11T17:10:18Z
12,project-based-learning,practical-tutorials,https://github.com/practical-tutorials/project-based-learning,211657,27627,None,111,Curated list of project-based tutorials,2024-08-15T05:33:54Z
13,awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,211319,10036,None,0,A list of Free Software network services and web applications which can be hosted on your own servers,2025-01-10T18:56:41Z
14,vue,vuejs,https://github.com/vuejs/vue,208260,33703,TypeScript,354,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",2024-10-10T07:24:15Z
15,Python,TheAlgorithms,https://github.com/TheAlgorithms/Python,196333,46093,Python,65,All Algorithms implemented in Python,2025-01-06T20:12:17Z
16,javascript-algorithms,trekhleb,https://github.com/trekhleb/javascript-algorithms,189303,30377,JavaScript,128,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,2024-08-19T12:32:07Z
17,tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,187208,74405,C++,824,An Open Source Machine Learning Framework for Everyone,2025-01-11T09:39:05Z
18,linux,torvalds,https://github.com/torvalds/linux,185677,54695,C,0,Linux kernel source tree,2025-01-11T01:24:41Z
